latitude,longitude,month,severity,ndvi,evi,lai,fpar,elevation,temp,humidity,dew,precipitation,windspeed,pressure,cloudcover,solarradiation,solarenergy
23.697455096744747,77.66074273101367,4,27067,2126.0,1618.0,20.0,40.0,427.0,31.099999999999998,14.2,-0.1,0.0,13.0,1010.95,12.6,315.95000000000005,27.3
30.28443094622648,78.83942928371718,4,5124,5705.5,3014.5,12.0,40.5,1209.0,21.725,32.65,2.65,0.0,22.3,1005.65,17.4,307.04999999999995,26.6
22.140881935449475,79.40641047553733,4,12012,2393.0,1778.0,20.0,40.0,587.0,32.475,20.799999999999997,5.75,0.0,16.2,1008.7,11.6,322.35,27.8
22.951568196620144,78.31389912157636,4,26028,2738.0,1533.5,20.0,40.0,321.0,31.275,12.350000000000001,-1.1,0.0,10.25,1009.6,11.4,320.7,27.700000000000003
23.491753197296543,77.90420516318724,4,6713,2662.0,1743.5,2.0,12.0,424.0,30.825,17.75,2.35,0.0,15.7,1009.8,0.2,316.04999999999995,27.35
17.844337360219495,81.88119528309765,4,6267,5569.5,3065.5,11.0,40.0,856.0,28.775,54.7,15.65,0.0,13.149999999999999,1011.0,28.900000000000002,228.45,19.700000000000003
23.67813245276005,77.62240676395015,4,15099,2182.0,1416.0,20.0,40.0,438.0,31.825,14.25,0.09999999999999998,0.0,18.4,1008.25,1.25,319.15,27.45
22.676507645874896,75.33705504610434,4,8678,2495.5,1844.5,4.0,21.0,548.0,29.325,22.15,4.9,0.0,21.95,1010.6,7.0,310.9,26.85
27.09794070198641,82.89722050424614,4,10020,2451.5,1555.5,2.5,14.0,86.0,33.825,37.7,13.3,0.0,22.5,1001.3499999999999,27.349999999999998,305.0,26.299999999999997
23.368776601231847,92.30861300553761,4,7356,5229.5,3343.5,62.0,89.0,170.0,27.025,72.8,20.0,0.05,22.15,1013.1,33.7,283.4,24.5
22.8951975356529,78.08016815085045,4,17486,2900.5,1655.5,4.0,23.0,318.0,32.65,12.45,-0.9,0.0,15.1,1008.8,1.6,318.45,27.5
19.31442352007133,80.83630168594578,3,13331,3396.0,1674.0,8.5,31.5,476.0,31.9,20.25,5.050000000000001,0.0,10.100000000000001,1007.4000000000001,36.099999999999994,318.75,27.5
19.241114721270197,80.53303760055442,3,13312,4151.5,2146.5,8.0,34.5,260.0,33.275000000000006,20.85,5.9,0.0,8.8,1006.95,30.5,318.1,27.4
22.856787081945416,85.87540845200718,2,9866,4430.0,2459.0,12.0,43.5,282.0,25.4,41.0,8.5,0.0,8.0,1010.75,0.0,256.1,22.1
20.247173955335917,82.38763318055246,2,21008,4233.0,2045.5,12.0,39.0,664.0,25.525,44.95,11.65,0.0,6.85,1012.8,0.1,263.5,22.799999999999997
20.166615046302795,82.75055007046873,2,7572,3753.0,1784.0,9.0,39.5,459.0,25.15,49.6,12.75,0.0,7.199999999999999,1014.25,1.4,260.0,22.4
20.269118977729153,85.06683260225303,2,8178,5664.0,2884.0,15.5,52.5,452.0,26.8,55.8,14.7,0.0,12.1,1012.3499999999999,1.25,257.55,22.25
21.31260057973661,75.4700632660462,2,5330,2985.0,1332.0,5.5,30.0,472.0,22.950000000000003,61.05,14.0,0.0,13.649999999999999,1016.6,23.15,230.6,19.95
